airline,product_name,route,booking_class,price_increase,rebate_ratio,office,remarks,valid_period,ticket_type,policy_identifier,policy_code
CZ,保险旅行套餐,延误保,"P/B/M/H/K/U/A/L/Q *YXKAAIB *YXKAAIC
*YXKAAID",0,60,KMG319/KMG279/CTU152/SZX146,航意航延保障和500里程,,ALL,*YXKAAIB,*YXKAAIB
CZ,团队加享,团队加享产品,"G  ********TA
********TB
********TC
********TD
********TE
********TF
********TG",0,60,KMG319/KMG279/CTU152/SZX146,10KG额外行李额度,,ALL,,
CZ,南航GP加享,100里程旅行套餐,Y/P/B/M/H/K/U/A/L/Q *YDLAAMA,30,12,KMG319/KMG279/CTU152/SZX146,100里程旅行套餐,,ALL,*YDLAAMA,*YDLAAMA
MU,1、GP免费快速安检通道,昆明出港GP,,不限,01,KMG319/KMG279,发送“名字+票号+航班号 航程+日期时间+人数+服务需求”到QQ保障群704876602,有效,ALL,,
MU,2、GP高舱免费接送,昆明进出港GP+集团客户47开头,"GP/U、F、J、C、D、Q、I、W、P、Y、B、
M、E、K舱。",1000,免费接送机,KMG319,分号限量使用，需要完成对应指标,,ALL,,
MU,3、里程优享,"所有航线                                  

  (所有GP优享产品可适用于航前4小时免费改期的政策)",C/D/P/B/M/E/K/L/N/R/S/V/T/Z（GP政策）,70,35,KMG319/KMG279/CTU152/SZX146,"1.旅客类型‘’东方万里行‘’会员（限成人）

2.后返（GP都适用）
注意：销售时注意是否有会员号，只能销售有‘’会员号‘’旅客，非会员暂不能销售，如有变动已通知为准。",有效,ALL,L5,L5
MU,4、2025 年 GP 客票晋舱前返,适用航线：东上航实际承运涉及KMG=CAN=PVG=SZX=TCZ=TSN=URC=WUH=XMN=PKX=SHA=XIY=TAO=BSD=ZAT=DIG=TYN=JHG=WUX=LNJ，以及全国航线，具体参照表格销售,"适用舱位：经济舱（Y/B/M/E/K/L/N/R/S）GP客票；                                                  运价标识：定 Y 舱后使用 PAT:A#CGP 可展
示 FB 为 YGP10M 的运价，代表在 M 舱公布运价+10%Y 舱价格",高舱-低舱,40,KMG319/KMG279/CTU152,,有效,ALL,,
MU,5、变更优享,1.适用范围：东上航实际承运的国内直达航线，北京大兴、成都天府为始发地或目的地的航线除外。,M/E/K/L/N/R/S/V                                 Farebasis项后缀“BG”“BGYX”为识别代号,160,60,KMG319,产品对应舱位客票的航班/日期变更，自愿变更时间在航班规定离站时间前4小时（含）之外，免收变更手续费,有效,ALL,,
MU,6、云南GP空铁优享,昆明进出港航线(C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z),1.区域一：增值服务包括玉溪、曲靖至或返昆明高铁二等座客票一张、昆明站或昆明南站至或返昆明长水机场地面运输一次（专车）,260,210,,1.注意台账做共享链接（用车信息+对应高铁信息）,航班日期：即日起-2025年12月31日,ALL,YN01,YN01
MU,8、用车优享,单程,B/M/E/H/K/L/N/R/S/V/T/Z(对产品价格超过超级经济舱/经济舱无折扣公布运价的情况进行拦截)。,100,20,,,,ALL,,
MU,9、WiFi优享,所有航线  GP渠道“Wi-Fi优享+,P/B/M/E/H/K/L/N/R/S/V/T/Z(对产品价格超过超级经济舱/经济舱无折扣公布运价的情况进行拦截)  两位后缀：GPW1,40,25,,"1.产品名称：Wi-Fi优享+。【TC:WFYX40 / FB末两位后缀：GPW1】
2.产品价格：产品价格=外放经济舱舱位GP运价价格+40元，乘机人可享受1次适用范围内航班标准全航程空中上网
3.特殊退改规则：使用GPWIFI优享产品可享受航前4小时免费改期政策
4.自愿退票：退票须在原购买渠道操作，按照票面规定扣除退票费后退款。",,ALL,,
MU,10、Wi-Fi优享+里程优享,所有行程,B/M/E/K/L/N/R/S/V/T/Z  产品代码：GPW3，GPW4，GPW5,110,40,,"1.特殊退改规则：使用GP WIFI+里程优享产品可享受航前4小时免费改期政策
2.自愿退票：退票须在原购买渠道操作，按照票面规定扣除退票费后退款。",,ALL,,
MU,11、东航免费接送机调整,CZ,"适用航线:昆明始发或到达东、上航实际承运国内单程、往返程、铁口程航班;
3、东航云南有限公司客户编号为47开头的两方和三方集",0,,KMG319,"4、昆明进出港 GP 客票
6、适用用舱位:接送机适用舱位:U、F、J、C、D、Q、I、T、P、Y、B、M、E、K、L、N舱。  （12月31如止）                                                                2025 年4-6月国内增值服务产品通告  (集团客户尊享二’)接、送机增值服务修)",,ALL,,
MU,12、安心优享,所有航线,适用舱位：C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z 舱(以 TC“AXYX02”，Farebasis 项后缀“BX”为识别代号。),99,40,KMG319/KMG279/CTU152/SZX146,"旅客在明折明扣各舱位价格基础上，额外支付
固定价格，享受综合保险服务",,ALL,,
MU,"2025年GP渠道里程优享，WIFI优享以及里程+wifi优享产品运价已经发布，重点内容如下
1.销售价格与适用规则与普通产品一致，同2024年
2.GP渠道优享产品以FB后四位GPL1-GPL8,GPW1,GPW3-GPW5为识别
3.上调GP优享产品的后返比例至销售金额的50%
4.所有GP优享产品可适用于航前4小时免费改期的政策",,,0,,,,,ALL,,
MU,东航注意事项：除东航所有外航全部使用279出票（不影响情况下）东航全部319出票，提高同邦占比，否则会影响后返结算(同邦+星晟）,,,0,,,,,ALL,,
3U,1、全国免改易行,全国航线(4季度政策变动）,"T/H/G/L/E/R/K/N/Q/M（运价代码*/0KJM1,***/0KJM1)T-N舱80元,Q/M舱65元",150,80,KMG319/KMG279/CTU152,起飞四小时外免首次改期费,有效,ALL,"*/0KJM1
***/0KJM1","*/0KJM1
***/0KJM1"
3U,2、优惠退票,优惠退票,"T/H/G/L/E/R/K/N/Q/M  运价标识：*/0KJTP,***/0KJTP，T-N舱100元，Q/M舱80元",180,80,KMG319/KMG279/CTU152,"自愿退票时间在航班计划离站时间48小时（含）前，退
票费率按照航班计划离站时间168小时（含）前费率执行",,ALL,"*/0KJTP
***/0KJTP","*/0KJTP
***/0KJTP"
3U,3、UP出行管家产品内容新增,适用航线：川航昆明进出港,N/K/R/V/E/L/S/G/H,150,120,KMGG319,UP150接送机产品    同邦,,ALL,UP150,UP150
3U,4、川航大客户后返,"白名单是战狼队的非GP白名单，
请出到川航票的必须要带客户号，
后返结回来后会补给大家。（3折以上7%）","大客户号：LFY001MAKM
（100%白名单）",3,7,KMG319,PAT A#CLFY001MAKM,,ALL,,
3U,5、里程加享,所有线,"T-N舱公布运价+50元
Q/M舱市场净价+50元",50,5,KMG319/KMG279/CTU152,赠送额外500里程,,ALL,"*/0KJL1
***/0KJL1","*/0KJL1
***/0KJL1"
3U,6、机+接送车,所有线,"T-N舱公布运价+150元：50元
Q/M舱市场净价+150元：35元",150,35,KMG319/KMG279/CTU152,赠送天府行接送车300元专车券,,ALL,"*/0CJJF
***/0CJJF","*/0CJJF
***/0CJJF"
3U,7、地面加享,机+优享选座  所有航线,"订W舱：T-N舱公布运价+100元：25元
Q/M舱市场净价+100元：15元",100,15,,航班起飞48小时之前优享选座/川航国内航线,,ALL,"*/0DJXZ
***/0DJXZ","*/0DJXZ
***/0DJXZ"
3U,8、礼遇加享,机+X 川航国内航线,订座舱位：T/H/G/L/E/R/K,高舱-低舱,60,,"服务商提供自有服务权益
最低开放舱位公布运价+指定比例",,ALL,/0LJG1,/0LJG1
KY,1、一路护航（9月-10月31日）,"1.竞争航线：
KMG-XMN、XMN-KMG、KMG-TCZ、TCZ-KMG、KMG-LUM、LUM-KMG、KMG-XIY、XIY-KMG、KMG-PEK、PEK-KMG、KMG-HGH、HGH-KMG、KMG-KHN、KHN-KMG、KMG-TNA、TNA-KMG、KMG-JJN、JJN-KMG、KMG-SZX、SZX-KMG、KMG-PVG、PVG-KMG、KMG-NKG、NKG-KMG、KMG-CGO、CGO-KMG、KMG-CAN、CAN-KMG、KMG-SJW、SJW-KMG航线前返比例为80%;航线前返比例为80%;
2、其他所有航线前返比例为70%;",订B舱  PAT:A或PAT:A#CYLHH,100,80,KMG319/KMG279,"1、客票采用PAT:A或PAT:A#CSWZX自动计算运价出票
2、乘机日期：2024年03月01日（含）航班起飞前4小时之前退改签规定，自愿退票，收取10%的退票费。
3、航班起飞前4小时（含）之内及航班起飞后退改签规定：
航班起飞前4小时（含）之内及航班起飞后，产品退改签参见最新公司最新业务通告内对应舱位相关退改签规则办理。4.客票采用PAT:A或PAT:A#CYLHH自动计算运价出票",有效,ALL,,
KY,2、商务尊享（9月-10月31日）,"1.竞争航线：
KMG-XMN、XMN-KMG、KMG-TCZ、TCZ-KMG、KMG-LUM、LUM-KMG、KMG-XIY、XIY-KMG、KMG-PEK、PEK-KMG、KMG-HGH、HGH-KMG、KMG-KHN、KHN-KMG、KMG-TNA、TNA-KMG、KMG-JJN、JJN-KMG、KMG-SZX、SZX-KMG、KMG-PVG、PVG-KMG、KMG-NKG、NKG-KMG、KMG-CGO、CGO-KMG、KMG-CAN、CAN-KMG、KMG-SJW、SJW-KMG航线前返比例为80%;
2、其他所有航线前返比例为70%;",订B舱  PAT:A或PAT:A#CSWZX,600,80,,"1、客票采用PAT:A或PAT:A#CSWZX自动计算运价出票
2、乘机日期：2024年03月01日（含）航班起飞前4小时之前退改签规定，自愿退票，收取10%的退票费。
3、航班起飞前4小时（含）之内及航班起飞后退改签规定：
航班起飞前4小时（含）之内及航班起飞后，产品退改签参见最新公司最新业务通告内对应舱位相关退改签规则办理。",,ALL,,
KY,3、商务出行（9月-10月31日）,所有航线,M、M1、U、H、Q、Q1、V、V1、W、S、E、E1、E2、E3、E4、E5                                PAT:A或PAT:A#CSWCX,20,10,KMG319/KMG279,"指令：客票采用PAT:A或PAT:A#CSWCX   
退票：4小时前：自愿退票，收15%的退票费",,ALL,,
KY,4、空铁联运,所有航线,外放舱位：M、M1、M2、U、U1、U2、H、H1、Q、Q1、Q2、V、V1、V2、W、W1、W2、S、S1、S2、S3、S4、S5、P,150,130,KMG319/KMG279,"1.客票采用PAT:A或PAT:A#CKTLY自动计算运价出票
2.GP出票使用指令PAT:A#CKTLY/CGP/CC自动计算运价。
3.航班4小时前：自愿退票，收取15%的退票费
4.产品代码：外放舱位+NKT+150（例如：公布运价舱位V舱直加150元为VNKT150元",,ALL,,
KY,5、昆航  优选经济舱,所有航线,"指订座E舱 舒适经济舱 （前三排位置）                                         

运价指令PAT：A#CSC",正价E,70,KMG319/KMG279,"1.空中服务
①享受经济舱前二排座椅，座位间距比普通经济舱宽10公分，享受更大腿部空间。
②配备矿泉水一瓶。
2.地面服务
①享受25KG免费行李额，比普通经济舱多5KG。
②优先登机：旅客在候机楼登机口登机时，出示登机牌即可享受与两舱客户一样的特殊通道优先登机服务。（仅限昆明机场）      
                          
2、航班起飞7天前：退票价格5%，改签：免费
航班起飞前7天至72小时之前：退票价格5%，改签：票面价格5%
航班起飞前72小时至4小时之前：退票价格10%，改签：票面价格5%
航班起飞前4小时之后：退票20%，改签：票面价格10%",,ALL,,
KY,6、25年夏秋Z舱、R舱、E舱固定折扣,所有航线,Z舱 ZZA135超值公务舱Z舱固定折扣产品编码：CZPP002,135,80,KMG319,该产品运价模式为：Z*A25/30/35/40，运价基础为：Z＋外放舱位＋A＋上浮比例（例：ZHA25表示外放上浮Y舱价格*25%）；具体运价基础详见（“超值公务”产品运价基础）。,,ALL,,
KY,7、特惠公务,所有航线,"订R舱 联动：Y/B/M/M1/M2/U/U1/U2/H/H1/H2/Q/Q1/Q2/V/V1/V2/W/W1/W2/S/S1,私有运价舱位S2/S3/S4/S5/P/P1/P2/P3/P4/P5",6,50,KMG319,仅享受机上公务舱座位及相应服务，不享受公务舱地面标准服务（享有免费行李额30KG）。                                      该产品运价模式为：D*A6/8/10/12/15/20，运价基础为：D＋外放舱位＋A＋上浮比例（例：DHA10表示外放上浮Y舱价格*10%）；具体运价基础详见（“特惠公务”产品运价基础）。,,ALL,,
KY,8、KY昆明进出：免费接送机标准,普通旅客,普通会员,尊享俱乐部银卡,尊享俱乐部金卡：白金卡会员；昆航集团客户；GP旅客,/,微信小程序，选择车接车送,,ALL,,
KY,9、快速安检通道,昆明出港,订B舱，联动：M、M1、U、H、Q、Q1、V、V1、W、S、E、L、O以及以上舱位的私有运价小舱位,50,5,KMG319/KMG279,快速安检通道”产品以“外放最低舱位上浮50元”的定价模式，购买昆明航空昆明出港航班，旅客可享受昆明长水国际机场快速安检通道服务（具体位置：出发层（F3）二号门直走到40号安检口，侧面通道直行20米，右前方“易畅转”白色柜台，工作人员核对旅客信息无误后，东01过安检即可），服务保障使用时间：早06:00-晚22:00,,ALL,,
KY,10.昆明GP退票规则,"昆明航空：GP客票免费退票服务需满足以下条件 （2024年4月2日通知）
1.有效期：2023年10月29日-截止日期待昆明航空通知
2.只要有GP客票标识，航班起飞前4小时之前免费退票
3.购买四三折及以上（≥43%）折扣客票
4.黑屏正常操作全退（自动退票指令，不能手工改哈）",,0,,,,,ALL,,
DR,1、超值经济舱（M舱）,所有航线/M舱,"订M舱 B,E,H,K,N,R,S,V,T,Z（含其子舱位）",80,0,KMG319/KMG279,"票面价折扣率对应多等级管
理规定及子舱位管理规定执
行",有效,ALL,CJM1,CJM1
DR,2、渠道溢价产品---乐天行,所有航线,E/H/K/N/R/S/V/T/Z/W/U/I/X以及各舱子舱位。产品代码：LTX （10月更新）,50,20,KMG319/KMG279,"（二）变更、退票：按订座舱位对应《苏南瑞丽航空国
内航班散客多等级舱位管理规定》、《苏南瑞丽航空固定折
扣舱位管理规定》及《苏南瑞丽航空国内特价促销产品票务
操作规定》执行，以票面价为基准计算手续费（四舍五入至
个位）。",有效,ALL,LTX1,LTX1
DR,3、 超值公务舱（A舱/C舱）,所有航线（全享公务舱）,C,1.5,60,KMG319/KMG279,"（三）退票
1.航班规定离站时间前 72 小时(含)之前退票,按对应票
面价收取 5%退票手续费；
2.航班规定离站时间前72小时至航班规定离站时间前4
小时(含)之前退票，按对应票面价收取 10%的退票手续费；
3.航班规定离站时间前 4 小时之后退票，按对应票面价
收取 20%的退票手续费。",有效,ALL,QXGW,QXGW
8L,1、飞祥有礼,所有航线,产品代码：FXYL                         H/K/L/M/X/V/N/Q/A/U/T/Z/P(4月19日调整）,120,35,KMG319/KMG279/CTU152,一、免费20KG行李  （退改:按照文件规则执行）,有效,ALL,FXYL,FXYL
8L,2、超值经济舱产品,所有航线,W舱  联动：H/K/L/M/X/V/N/Q/A/U/T/Z/P,130,15,KMG319/KMG279/CTU152,"（（一）免费托运行李额20KG。                                   
（二）经济舱前三排座位。
（三）机上餐食，计划飞行时间小于等于1H40min的餐食暂不对外宣传。

（暂时对外宣传机上饮品，7月1日恢复保障）  产品权益：六大服务权益——经济舱前三排、 机上餐/饮、金鹏会员享额外消费积分奖励、优惠退改、昆明、丽江专属值机柜台、部分机场优先登机。",有效,ALL,,
8L,3、祥鹏航空贵宾室专享产品票务,所有航线,适用舱位：H/K/L/M/X/V/N/Q/A/U/T/Z/P 产品代码：GBSZX,70,10,KMG319/KMG279/CTU152,"1、免费行李额：20KG。
2、退票：按客票订座舱位对应多等级舱位管理规定，以票面价计算退票费，收取退票费
3、昆明长水国际机场祥鹏航空V3贵宾休息室（国内）2小时权益（贵宾室营业时间为：05:00-23:00）。备注：权益仅航班出行当天有效，未使用视为自动放弃。具体服务时长及权益内容以地服部相关规定为准，若因服务权益调整导致旅客投诉由地服部处理。",,ALL,,
8L,4、优惠退改,所有航线,订E舱 联动舱位：L/M/X/V/N/Q/A/U/T/Z（含小舱位） 产品代码：YHTG2,100,10,KMG319/KMG279/CTU152,"1.经济舱前三排
2.优惠退改
3.在经济舱外放基础上上浮100元，不得大于经济舱公布普通票价。

自愿改期：YHTG1/YHTG2 均按照以下规则进行改期操作。
航班计划出港时间 336 小时（含）之前，每次收取实际票面
价 5%的改期手续费；航班计划出港时间前 336 小时（不含）至航
班计划出港时间前 72 小时（含），每次收取实际票面价 10%的改
期手续费；航班计划出港时间前 72 小时（不含）至航班计划出港
时间前 48 小时（含），每次收取实际票面价 30%的改期手续费；
航班计划出港时间前 48 小时（不含）至航班计划出港时间前 4 小
时（含），每次收取实际票面价 40%的改期手续费；航班计划出港
时间前 4 小时（不含）至航班起飞后，每次收取实际票面价 50%
的改期手续费。",,ALL,,
8L,5、往返特惠,所有航线,Y,0,,,"在外放基础舱位中订座，以票面价为基础进行下浮。
往返程（RT）须使用一个票号或连续票号。
行李权益：经济舱免费托运行李额20kg。
金鹏积分按金鹏俱乐部现行标准执行。",,ALL,,
8L,6、海天无限,所有航线,下浮比例（淡季）,下浮比例（旺季：国庆/暑运）,,,"产品简介：利用海航集团11家航司国内航线网络资源，提供更多的中转航线航班衔接选择。
旅行类型：中转联程（含单程中转A-B-C、往返程中转A-B-C-B-A或
A-B-C、C-B-A、多航段中转A-B-C-D或更长）
产品权益：
所有航司统一行李标准：公务舱免费行李额30KG，经济舱免费行李额20KG。
通程值机、行李直挂服务保障。
金鹏积分按金鹏俱乐部现行标准执行。
差异化政策适用于所有昆明、郑州、成都、云南省内（大理、丽江、版纳）、重庆、赣州",,ALL,,
8L,7、GP免费行李,,GP免费行李20KG                                Y/B/H/K/L/M/X/V/N/Q/A/U/T/Z（不含小舱位）舱免费行李额：20KG,无,无,,"BSP,B2B  Y舱20KG  
B/H/K/L/M/X/G  10KG
V/N/Q/A/U/T/Z  0KG",,ALL,,
8L,8、商旅优选产品,所有航线,适用舱位：H/K/L/M/X/V/N/Q/A/U/T/Z/P 产品代码：SLYX,50,25,KMG319/KMG279/CTU152,免费行李额：按现行《祥鹏航空国内航班行李政策差异化标准政策》执行,有效,ALL,,
MF,1、易登机（25年调整）,"昆明（丽江）进出港（25年1月生效）                       Z,U,R特价舱： Z:Y舱*3.3折，U:Y舱*3.7折，R:Y舱*4.5折",B/M/L/K/ N/ Q/V/T/R/ U/Z  ZFKMG2122,180,40,KMG319,"昆明或丽江国际机场指定贵宾厅
内出港（或进港）增值服务一次",有效,ALL,,
MF,"2、全国 机+免退改:                                明舱上固定加价
适用于所有境内航
线",①免变更费: PAT A@YXTG0318,明舱上固定加价 YXTG0318，旅游代码：24PB031,170,64,KMG319,"航班计划起飞时间前36小时外（不含36小时）
免收自愿变更手续费1次CC",有效,ALL,,
MF,3、全国   机+白鹭积分  明舱上固定加价,乘机后7日获得额外白鹭积分奖励   PAT A@,明舱上固定加价 XJF240264，旅游代码：24PB026,80,30,KMG319,白鹭积分500分，不可作为定级/保级积分。,,ALL,,
MF,4、全国  机+厦航自营贵宾休息室(贵宾休息室，限航班起飞前24小时外销售，代理销售后将客票信息发送至属地直销机构，由直销机构销售人员使用系统发送券码,"厦门/福州/杭州/泉州/天津出港
境内航班经济舱","明舱上固定加价，旅游代码：24PB168
                             ZFXXS1687
ZFXXS1688
ZFXXS1689
ZFXXS16810
ZFXXS16811",160,50,KMG319,"厦航自营贵宾休息室
（厦门/福州/杭州/泉州/天津）",,ALL,,
MF,5、引导高舱                               旅游代码：23PB336,"1. 不含 GP 客户
2. 仅限商旅用户
3. 福建进出港航班且数据周期内在线下直销机构出过票的客户不适用（以厦航智能系统部数据采集为准）",限经济舱客票:客户出票价格高于航班最低外放价格，产生实际增值贡献,30,,KMG319,"自动高舱:YHCQQ1671,专属客户经理服务、专柜值机",,ALL,,
MF,固定加价,厦航市场方、南航、东航、川航承运方国内代码共享航班,Y**ZF1693,100,50,KMG319,票价类别中的**为航司代码  专属客户经理服务,,ALL,,
MF,引导高舱,厦航实际承运的境内及境外航线航班,客户出票舱位比当前航班外放最低舱位高1个舱位（含），限同一物理舱位,5000,20,,旅游代码24PB0733 专属客户经理、专柜值机、乘机全程引导等地面服务,,ALL,,
RY,1、江西航空溢价产品,所有航线 外放舱位,程加享A档 PAT:A#CLCIXA,380,130,KMG319/KMG279,赠送白鹭会员积分2500积分,有效,ALL,,
ZH,1、商务如意行,"KMG=SZX=JJN=KHN=YCU=HRB,JHG=SZX=TFU",C/D/R,380,266,KMG319/KMG279/CTU152/SZX146,"自愿退票：
均按照最新版《深航国内运输客票使用条件》相关规定执行。自愿变更
1）2024年12月31日（含），按照航班起飞前4小时，免变更手续费一次；",有效,ALL,,
ZH,1、商务如意行（两舱）,所有航线,C/D/Z/R,160,10,KMG319/KMG279/CTU152/SZX146,"两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加两个档位，分别为直加140元（                                      舱位/JGB140）和直加200元（舱位/JGB200）的模式     产品奖励金额(舱位变动，具体奖励以销售为准)
直加金额超过200元，按照直加金额不超70%进行返佣；直加金额在100元-200元（含），按照直加金额的60%返佣。                      

航班起飞前四小时（含）之前，B/M/M1/U/U1/H/H1/Q/Q1/V/V1舱免收退票手续费，其余舱位退票按《深航国内运输客票使用条件（202402版）》相关规定执行。航班起飞前四小时之后，退票均按照《深航国内运输客票使用条件（202402版）》相关规定执行。",,ALL,,
ZH,2、商务如意行（经济舱）,所有航线,B/M/MI/U,200,5,,"2025.01.01(含)2025.12.31(含)  
总部产品采取两舱直加160元（舱位/JGB160)和直加260元(舱位/JGB260）两个档位；经济舱（含公布运价舱和特价舱）直加三个档位，分别为直加50元（舱位/JGB50）、140元（舱位/JGB140）和直加200元（舱位/JGB200）的模式。",,ALL,,
ZH,2、销售平台散客已上线商务如意行产品,全部航线（B2B）系统出票,适用舱位KLE舱,140,75,KMG319/KMG279/CTU152/SZX146,"1.运价级别为JGB140
2.运价基础JGB160",,ALL,,
ZH,鹏程万里,所有航线,M/M1/U,100,55,KMG319/KMG279/CTU152/SZX146,"*/JGL100（赠送300额外里程）；
*/JGL150（赠送500额外里程）；
*/JGL200（赠送800额外里程）；
*/JGL300（赠送1200额外里程）；
*/JGL450（赠送1500额外里程）。",,ALL,,
ZH,4、公务舱产品,所有航线,J/C,0,200,KMG319,,有效,ALL,,
ZH,5、舒适经济舱产品,所有航线,正价G舱,0,30,KMG319,6.改期无忧（仅适用于国内航班）：购买乘机日为2024年10月26日前的深航实际承运舒适经济舱（G、E舱）客票，如在航班起飞4小时（含）之前取消订座，通过深航官方客服热线95361或所乘坐航班的出发机场深航柜台办理变更至相同航线的其他深航实际承运航班，可享免收一次变更手续费，如有票价差额需补收。若再次提出自愿改期、自愿退票，按照深航最新版的《深航国内运输客票使用条件》相关规定执行。,,ALL,,
ZH,深航中小企业号,所有航线,PAT:A#C1SMA004Q,2,,KMG319,全国政策直减2%-3%。KMG319,有效,ALL,,
SC,1、旅行优享,所有航线,所有舱位  */SWX,100,50,KMG319/KMG279,无,有效,ALL,,
SC,2、免改优享,所有航线,所有舱位  */SWX1,150,60,,1、起飞前4H 免费改期 1 次,,ALL,,
SC,3、里税加享,所有航线,所有舱*/JLCJX1,100,30,,1、起飞前4H免责改期 1 次2、300 额外非定级早程,,ALL,,
SC,免费接送机,济南、青岛、烟台,C/D/W/Y/B/M/U/H   (GP),无,无,KMG319,需要注册，预约免费接送机,有效,ALL,,
SC,B舱高,全国航线,"B舱（休息室、免费改、额外行李、鲁雁值累计1鲁雁值=1元、快速安检等选一）
M舱（快速安检、累积积分、5KG选一）",无,60,,已结算回为准,有效,ALL,,
EU,1、“行李无忧”B舱,,B舱  BXL10%-60%,10,,KMG319/KMG279/CTU152,"1、直加1折-6折  
2、前期客运销售管理室已将B舱行李额由20KG调整至25KG升级为“行李无忧”产品，现申请将该产品政策及促销政策（KYXS220303-5）延续至22夏秋航季。                                  
3、“行李无忧”产品（行李额25KG）
4、退改规则：（请在下表中根据销售政策实际情况填写：1）情况一：退改规则按照最新版《成都航空特殊产品客票销售使用条件》对应订座舱位执行。2）情况二：根据产品自定义退改规则，若有附件请列明附件审批编号，若无附件请在下表中列明具体退改规则。）",有效,ALL,,
EU,2、如意行,,"I舱-T舱： 运价标识：YBRY                               以上订座上浮（运价基础上浮金额+RY）。
禁止出HX 运价标识，不能结算产品",140,84,,3、订座系统中航班起飞时刻4小时（含）前，同舱位可免费变更一次，若无同舱位需补齐差价，第一次免费变更授权渠道采用自动换开进行变更，并制作相应报表定期联系航线销售人员报备（自动换开产生的变更费与产品服务费以后返形式一并返还），再次变更按第四条中规定执行。,,ALL,,
EU,3、无忧退,所有航线,D/N/I/K/R/V/E/Q/L/S/G/M/H/T  运价标识：YBTP150,150,75,,"一、产品说明
旅客购买成航“无忧退”产品，如果发生自愿退票，且自愿退票时间在航班预计离站时间前 72 小时（含）前， 仅收取“无忧退”产品加价部分作为优惠定额退票费。
具体内容如下： 
（一）产品单段价格=外放舱位价格+直加固定价150元/300元/450元（定额退票费）；以 PAT：A#C@TP、PAT：A#C@GP（政采）显示价格为准，不得手工修改价格。",,ALL,,
EU,4、舒适经济P舱,所有线,P舱,舒适经济舱YP同价,15,,"D/N/I/K/R/V/E/Q/L/S/G/M/H/T
1、经济舱座位第一排、第二排
2、优先登机、优先下机；3、饮品
4、毛巾、毛毯；5、腰枕、拖鞋；6、报刊读物",,ALL,,
